Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,-0.9006811702978088,1.0320572244889565,-1.3412724047598314,-1.3129767272601454,Iris-setosa
2,-1.1430169111851105,-0.12495760117130933,-1.3412724047598314,-1.3129767272601454,Iris-setosa
3,-1.3853526520724133,0.3378483290927974,-1.3981381087490836,-1.3129767272601454,Iris-setosa
4,-1.5065205225160652,0.10644536396074403,-1.284406700770579,-1.3129767272601454,Iris-setosa
5,-1.0218490407414595,1.2634601896210098,-1.3412724047598314,-1.3129767272601454,Iris-setosa
6,-0.537177558966854,1.957669085017169,-1.1706752927920745,-1.0500307872213979,Iris-setosa
7,-1.5065205225160652,0.8006542593569032,-1.3412724047598314,-1.1815037572407716,Iris-setosa
8,-1.0218490407414595,0.8006542593569032,-1.284406700770579,-1.3129767272601454,Iris-setosa
9,-1.7488562634033669,-0.3563605663033627,-1.3412724047598314,-1.3129767272601454,Iris-setosa
10,-1.1430169111851105,0.10644536396074403,-1.284406700770579,-1.4444496972795189,Iris-setosa
21,-0.537177558966854,0.8006542593569032,-1.1706752927920745,-1.3129767272601454,Iris-setosa
22,-0.9006811702978088,1.494863154753063,-1.284406700770579,-1.0500307872213979,Iris-setosa
23,-1.5065205225160652,1.2634601896210098,-1.5687352207168408,-1.3129767272601454,Iris-setosa
24,-0.9006811702978088,0.5692512942248498,-1.1706752927920745,-0.9185578172020242,Iris-setosa
25,-1.2641847816287624,0.8006542593569032,-1.05694388481357,-1.3129767272601454,Iris-setosa
26,-1.0218490407414595,-0.12495760117130933,-1.2275409967813267,-1.3129767272601454,Iris-setosa
27,-1.0218490407414595,0.8006542593569032,-1.2275409967813267,-1.0500307872213979,Iris-setosa
28,-0.7795132998541568,1.0320572244889565,-1.284406700770579,-1.3129767272601454,Iris-setosa
29,-0.7795132998541568,0.8006542593569032,-1.3412724047598314,-1.3129767272601454,Iris-setosa
30,-1.3853526520724133,0.3378483290927974,-1.2275409967813267,-1.3129767272601454,Iris-setosa
31,-1.2641847816287624,0.10644536396074403,-1.2275409967813267,-1.3129767272601454,Iris-setosa
32,-0.537177558966854,0.8006542593569032,-1.284406700770579,-1.0500307872213979,Iris-setosa
33,-0.7795132998541568,2.4204750152812746,-1.284406700770579,-1.4444496972795189,Iris-setosa
34,-0.4160096885232032,2.651877980413329,-1.3412724047598314,-1.3129767272601454,Iris-setosa
35,-1.1430169111851105,0.10644536396074403,-1.284406700770579,-1.4444496972795189,Iris-setosa
36,-1.0218490407414595,0.3378483290927974,-1.4550038127383362,-1.3129767272601454,Iris-setosa
37,-0.4160096885232032,1.0320572244889565,-1.3981381087490836,-1.3129767272601454,Iris-setosa
