Id,Feature1,Feature2,Species,Predicted
11,0.4985014985014986,0.0120558375634517,Iris-setosa,Iris-setosa
12,0.3156843156843157,0.0133248730964467,Iris-setosa,Iris-setosa
13,0.2197802197802197,0.0019035532994923,Iris-setosa,Iris-setosa
14,0.1448551448551447,0.0,Iris-setosa,Iris-setosa
15,0.6593406593406594,0.008248730964467,Iris-setosa,Iris-setosa
16,0.7532467532467535,0.0310913705583756,Iris-setosa,Iris-setosa
17,0.5524475524475527,0.0260152284263959,Iris-setosa,Iris-setosa
18,0.392107892107892,0.0196700507614213,Iris-setosa,Iris-setosa
19,0.5824175824175826,0.0253807106598984,Iris-setosa,Iris-setosa
20,0.4685314685314685,0.0215736040609137,Iris-setosa,Iris-setosa
61,0.0,0.2151015228426395,Iris-versicolor,Iris-versicolor
62,0.3846153846153847,0.3927664974619289,Iris-versicolor,Iris-versicolor
63,0.1598401598401599,0.2468274111675126,Iris-versicolor,Iris-versicolor
64,0.384115884115884,0.4105329949238578,Iris-versicolor,Iris-versicolor
65,0.3116883116883116,0.2899746192893401,Iris-versicolor,Iris-versicolor
66,0.537962037962038,0.3838832487309644,Iris-versicolor,Iris-versicolor
67,0.3396603396603395,0.4213197969543147,Iris-versicolor,Iris-versicolor
68,0.2827172827172827,0.2531725888324873,Iris-versicolor,Iris-versicolor
69,0.1818181818181819,0.4213197969543147,Iris-versicolor,Iris-versicolor
70,0.1998001998001998,0.2652284263959391,Iris-versicolor,Iris-versicolor
111,0.5394605394605396,0.640228426395939,Iris-virginica,Iris-virginica
112,0.3636363636363637,0.631979695431472,Iris-virginica,Iris-virginica
113,0.5194805194805194,0.7258883248730965,Iris-virginica,Iris-virginica
114,0.2122877122877123,0.6275380710659899,Iris-virginica,Iris-virginica
115,0.3116883116883116,0.7696700507614213,Iris-virginica,Iris-virginica
116,0.5234765234765237,0.766497461928934,Iris-virginica,Iris-virginica
117,0.4745254745254745,0.6211928934010152,Iris-virginica,Iris-virginica
118,0.962037962037962,0.9282994923857868,Iris-virginica,Iris-virginica
119,0.5004995004995005,1.0,Iris-virginica,Iris-virginica
120,0.1598401598401599,0.4689086294416243,Iris-virginica,Iris-virginica
