Id,Feature1,Feature2,Species,Predicted
21,0.4175824175824176,0.0145939086294416,Iris-setosa,Iris-setosa
22,0.4430569430569431,0.0310913705583756,Iris-setosa,Iris-setosa
23,0.3276723276723276,0.0057106598984771,Iris-setosa,Iris-setosa
24,0.341158841158841,0.0469543147208121,Iris-setosa,Iris-setosa
25,0.3156843156843157,0.0171319796954314,Iris-setosa,Iris-setosa
26,0.2497502497502498,0.0133248730964467,Iris-setosa,Iris-setosa
27,0.3496503496503496,0.0336294416243654,Iris-setosa,Iris-setosa
28,0.4095904095904095,0.0120558375634517,Iris-setosa,Iris-setosa
29,0.3836163836163835,0.0107868020304568,Iris-setosa,Iris-setosa
30,0.2517482517482518,0.0133248730964467,Iris-setosa,Iris-setosa
71,0.4435564435564437,0.541243654822335,Iris-versicolor,Iris-virginica
72,0.3536463536463536,0.3229695431472081,Iris-versicolor,Iris-versicolor
73,0.2872127872127872,0.4593908629441624,Iris-versicolor,Iris-virginica
74,0.3536463536463536,0.3508883248730964,Iris-versicolor,Iris-versicolor
75,0.4275724275724274,0.3477157360406091,Iris-versicolor,Iris-versicolor
76,0.4895104895104894,0.3838832487309644,Iris-versicolor,Iris-versicolor
77,0.4515484515484515,0.4194162436548223,Iris-versicolor,Iris-versicolor
78,0.5044955044955046,0.5323604060913706,Iris-versicolor,Iris-versicolor
79,0.3696303696303696,0.4213197969543147,Iris-versicolor,Iris-versicolor
80,0.2407592407592407,0.2151015228426395,Iris-versicolor,Iris-versicolor
121,0.6033966033966036,0.8248730964467005,Iris-virginica,Iris-virginica
122,0.2837162837162836,0.6148477157360407,Iris-virginica,Iris-virginica
123,0.5774225774225774,0.8432741116751269,Iris-virginica,Iris-virginica
124,0.3501498501498503,0.5526649746192893,Iris-virginica,Iris-virginica
125,0.604895104895105,0.7525380710659899,Iris-virginica,Iris-virginica
126,0.6513486513486515,0.6782994923857869,Iris-virginica,Iris-virginica
127,0.3676323676323675,0.541243654822335,Iris-virginica,Iris-virginica
128,0.4145854145854145,0.5526649746192893,Iris-virginica,Iris-virginica
129,0.3956043956043955,0.7392131979695431,Iris-virginica,Iris-virginica
130,0.5794205794205796,0.5818527918781725,Iris-virginica,Iris-virginica
