Id,Feature1,Feature2,Species
31,0.2437562437562436,0.0133248730964467,Iris-setosa
32,0.4175824175824176,0.0310913705583756,Iris-setosa
33,0.5654345654345656,0.0025380710659898,Iris-setosa
34,0.6543456543456545,0.0107868020304568,Iris-setosa
35,0.2592407592407593,0.0025380710659898,Iris-setosa
36,0.2997002997002997,0.008248730964467,Iris-setosa
37,0.462037962037962,0.0095177664974619,Iris-setosa
38,0.2592407592407593,0.0025380710659898,Iris-setosa
39,0.1598401598401599,0.0095177664974619,Iris-setosa
40,0.3666333666333666,0.0120558375634517,Iris-setosa
81,0.1598401598401598,0.258248730964467,Iris-versicolor
82,0.1598401598401598,0.2277918781725888,Iris-versicolor
83,0.2827172827172827,0.28997461928934,Iris-versicolor
84,0.3096903096903098,0.5107868020304569,Iris-versicolor
85,0.3096903096903098,0.4213197969543147,Iris-versicolor
86,0.5194805194805194,0.4498730964467005,Iris-versicolor
87,0.537962037962038,0.4403553299492386,Iris-versicolor
88,0.2242757242757242,0.3559644670050761,Iris-versicolor
89,0.3396603396603395,0.3312182741116751,Iris-versicolor
90,0.1873126873126873,0.3229695431472081,Iris-versicolor
131,0.5354645354645355,0.7284263959390862,Iris-virginica
132,1.0,0.8052030456852792,Iris-virginica
133,0.3956043956043955,0.7747461928934011,Iris-virginica
134,0.3816183816183815,0.4784263959390862,Iris-virginica
135,0.2927072927072927,0.4904822335025379,Iris-virginica
136,0.6543456543456545,0.8832487309644669,Iris-virginica
137,0.5704295704295703,0.8458121827411167,Iris-virginica
138,0.4915084915084917,0.6211928934010152,Iris-virginica
139,0.3996003996003995,0.541243654822335,Iris-virginica
140,0.5689310689310689,0.7125634517766498,Iris-virginica
