Id,Feature1,Feature2,Species
1,0.39210789210789204,0.01078680203045685,Iris-setosa
2,0.23476523476523486,0.01078680203045685,Iris-setosa
3,0.25174825174825183,0.00951776649746193,Iris-setosa
4,0.21278721278721274,0.012055837563451778,Iris-setosa
5,0.39960039960039956,0.01078680203045685,Iris-setosa
6,0.5524475524475527,0.03616751269035533,Iris-setosa
7,0.28171828171828167,0.019670050761421316,Iris-setosa
8,0.34965034965034963,0.012055837563451778,Iris-setosa
9,0.1378621378621378,0.01078680203045685,Iris-setosa
10,0.25924075924075934,0.0025380710659898484,Iris-setosa
11,0.49850149850149866,0.012055837563451778,Iris-setosa
12,0.3156843156843157,0.013324873096446702,Iris-setosa
13,0.21978021978021972,0.0019035532994923846,Iris-setosa
14,0.14485514485514478,0.0,Iris-setosa
15,0.6593406593406594,0.008248730964467004,Iris-setosa
16,0.7532467532467535,0.031091370558375638,Iris-setosa
17,0.5524475524475527,0.02601522842639594,Iris-setosa
18,0.39210789210789204,0.019670050761421316,Iris-setosa
19,0.5824175824175826,0.025380710659898477,Iris-setosa
20,0.4685314685314685,0.0215736040609137,Iris-setosa
21,0.4175824175824176,0.014593908629441623,Iris-setosa
22,0.44305694305694315,0.031091370558375638,Iris-setosa
23,0.3276723276723276,0.005710659898477157,Iris-setosa
24,0.34115884115884104,0.04695431472081218,Iris-setosa
25,0.3156843156843157,0.01713197969543147,Iris-setosa
26,0.2497502497502498,0.013324873096446702,Iris-setosa
27,0.34965034965034963,0.033629441624365486,Iris-setosa
28,0.40959040959040954,0.012055837563451778,Iris-setosa
29,0.38361638361638356,0.01078680203045685,Iris-setosa
30,0.25174825174825183,0.013324873096446702,Iris-setosa
31,0.24375624375624366,0.013324873096446702,Iris-setosa
32,0.4175824175824176,0.031091370558375638,Iris-setosa
33,0.5654345654345656,0.0025380710659898484,Iris-setosa
34,0.6543456543456545,0.01078680203045685,Iris-setosa
35,0.25924075924075934,0.0025380710659898484,Iris-setosa
36,0.2997002997002997,0.008248730964467004,Iris-setosa
37,0.46203796203796205,0.00951776649746193,Iris-setosa
38,0.25924075924075934,0.0025380710659898484,Iris-setosa
39,0.15984015984015992,0.00951776649746193,Iris-setosa
40,0.3666333666333666,0.012055837563451778,Iris-setosa
41,0.37462537462537465,0.017766497461928932,Iris-setosa
42,0.017482517482517446,0.017766497461928932,Iris-setosa
43,0.20379620379620395,0.00951776649746193,Iris-setosa
44,0.37462537462537465,0.05393401015228426,Iris-setosa
45,0.4685314685314685,0.041243654822335024,Iris-setosa
46,0.21978021978021972,0.019670050761421316,Iris-setosa
47,0.4685314685314685,0.013324873096446702,Iris-setosa
48,0.23576423576423572,0.01078680203045685,Iris-setosa
49,0.48001998001998,0.012055837563451778,Iris-setosa
50,0.32467532467532473,0.01078680203045685,Iris-setosa
51,0.6193806193806195,0.41053299492385786,Iris-versicolor
52,0.5234765234765237,0.4213197969543147,Iris-versicolor
53,0.5689310689310689,0.4593908629441624,Iris-versicolor
54,0.13236763236763233,0.3229695431472081,Iris-versicolor
55,0.40959040959040954,0.4308375634517766,Iris-versicolor
56,0.29770229770229767,0.36421319796954316,Iris-versicolor
57,0.5389610389610391,0.47017766497461927,Iris-versicolor
58,0.08791208791208788,0.2024111675126903,Iris-versicolor
59,0.45654345654345646,0.3724619289340101,Iris-versicolor
60,0.2017982017982019,0.3394670050761421,Iris-versicolor
61,0.0,0.21510152284263956,Iris-versicolor
62,0.38461538461538475,0.39276649746192893,Iris-versicolor
63,0.15984015984015992,0.24682741116751267,Iris-versicolor
64,0.384115884115884,0.41053299492385786,Iris-versicolor
65,0.3116883116883116,0.2899746192893401,Iris-versicolor
66,0.537962037962038,0.38388324873096447,Iris-versicolor
67,0.33966033966033954,0.4213197969543147,Iris-versicolor
68,0.28271728271728275,0.2531725888324873,Iris-versicolor
69,0.18181818181818193,0.4213197969543147,Iris-versicolor
70,0.19980019980019986,0.2652284263959391,Iris-versicolor
71,0.4435564435564437,0.541243654822335,Iris-versicolor
72,0.3536463536463536,0.3229695431472081,Iris-versicolor
73,0.28721278721278726,0.4593908629441624,Iris-versicolor
74,0.3536463536463536,0.3508883248730964,Iris-versicolor
75,0.42757242757242747,0.3477157360406091,Iris-versicolor
76,0.4895104895104894,0.38388324873096447,Iris-versicolor
77,0.4515484515484515,0.4194162436548223,Iris-versicolor
78,0.5044955044955046,0.5323604060913706,Iris-versicolor
79,0.3696303696303696,0.4213197969543147,Iris-versicolor
80,0.24075924075924077,0.21510152284263956,Iris-versicolor
81,0.1598401598401598,0.258248730964467,Iris-versicolor
82,0.1598401598401598,0.22779187817258884,Iris-versicolor
83,0.28271728271728275,0.28997461928934004,Iris-versicolor
84,0.3096903096903098,0.5107868020304569,Iris-versicolor
85,0.3096903096903098,0.4213197969543147,Iris-versicolor
86,0.5194805194805194,0.4498730964467005,Iris-versicolor
87,0.537962037962038,0.4403553299492386,Iris-versicolor
88,0.22427572427572423,0.35596446700507617,Iris-versicolor
89,0.33966033966033954,0.3312182741116751,Iris-versicolor
90,0.1873126873126873,0.3229695431472081,Iris-versicolor
