Id,Feature1,Feature2,Species
41,0.3746253746253746,0.0177664974619289,Iris-setosa
42,0.0174825174825174,0.0177664974619289,Iris-setosa
43,0.2037962037962039,0.0095177664974619,Iris-setosa
44,0.3746253746253746,0.0539340101522842,Iris-setosa
45,0.4685314685314685,0.041243654822335,Iris-setosa
46,0.2197802197802197,0.0196700507614213,Iris-setosa
47,0.4685314685314685,0.0133248730964467,Iris-setosa
48,0.2357642357642357,0.0107868020304568,Iris-setosa
49,0.48001998001998,0.0120558375634517,Iris-setosa
50,0.3246753246753247,0.0107868020304568,Iris-setosa
91,0.2147852147852147,0.3280456852791878,Iris-versicolor
92,0.4145854145854145,0.4016497461928933,Iris-versicolor
93,0.2537462537462537,0.2975888324873096,Iris-versicolor
94,0.0749250749250748,0.2024111675126903,Iris-versicolor
95,0.2557442557442557,0.3394670050761421,Iris-versicolor
96,0.3546453546453547,0.3128172588832487,Iris-versicolor
97,0.3261738261738262,0.3394670050761421,Iris-versicolor
98,0.3986013986013986,0.3477157360406091,Iris-versicolor
99,0.1373626373626373,0.2024111675126903,Iris-versicolor
100,0.2977022977022976,0.3312182741116751,Iris-versicolor
141,0.537962037962038,0.8458121827411167,Iris-virginica
142,0.5689310689310689,0.7373096446700507,Iris-virginica
143,0.2827172827172827,0.6078680203045685,Iris-virginica
144,0.5874125874125875,0.8540609137055838,Iris-virginica
145,0.604895104895105,0.8972081218274112,Iris-virginica
146,0.5044955044955046,0.7519035532994923,Iris-virginica
147,0.2872127872127872,0.5958121827411168,Iris-virginica
148,0.4745254745254745,0.6529187817258884,Iris-virginica
149,0.5534465534465534,0.7810913705583756,Iris-virginica
150,0.3846153846153847,0.575507614213198,Iris-virginica
