Id,Feature1,Feature2,Species,Predicted
31,0.2244897959183673,0.075,Iris-setosa,Iris-setosa
32,0.4081632653061227,0.0875,Iris-setosa,Iris-setosa
33,0.5102040816326534,0.05,Iris-setosa,Iris-setosa
34,0.5918367346938775,0.05,Iris-setosa,Iris-setosa
35,0.2448979591836735,0.05,Iris-setosa,Iris-setosa
36,0.2857142857142856,0.0249999999999999,Iris-setosa,Iris-setosa
37,0.4489795918367347,0.0375,Iris-setosa,Iris-setosa
38,0.2448979591836735,0.05,Iris-setosa,Iris-setosa
39,0.1224489795918368,0.0375,Iris-setosa,Iris-setosa
40,0.3469387755102042,0.0625,Iris-setosa,Iris-setosa
81,0.2244897959183673,0.4625000000000001,Iris-versicolor,Iris-versicolor
82,0.2244897959183673,0.4375000000000001,Iris-versicolor,Iris-versicolor
83,0.3469387755102042,0.4875,Iris-versicolor,Iris-versicolor
84,0.3877551020408163,0.6875000000000001,Iris-versicolor,Iris-virginica
85,0.3265306122448981,0.6000000000000002,Iris-versicolor,Iris-versicolor
86,0.5306122448979593,0.6125000000000002,Iris-versicolor,Iris-versicolor
87,0.6122448979591839,0.6250000000000002,Iris-versicolor,Iris-versicolor
88,0.3673469387755101,0.5625000000000001,Iris-versicolor,Iris-versicolor
89,0.3673469387755101,0.525,Iris-versicolor,Iris-versicolor
90,0.2448979591836735,0.5125000000000001,Iris-versicolor,Iris-versicolor
131,0.693877551020408,0.8500000000000002,Iris-virginica,Iris-virginica
132,1.0,0.9000000000000002,Iris-virginica,Iris-virginica
133,0.4897959183673468,0.8250000000000002,Iris-virginica,Iris-virginica
134,0.4693877551020409,0.6750000000000002,Iris-virginica,Iris-versicolor
135,0.3877551020408163,0.7250000000000002,Iris-virginica,Iris-virginica
136,0.7959183673469385,0.9,Iris-virginica,Iris-virginica
137,0.5918367346938775,0.8500000000000002,Iris-virginica,Iris-virginica
138,0.5510204081632655,0.7625000000000002,Iris-virginica,Iris-virginica
139,0.4489795918367347,0.6750000000000002,Iris-virginica,Iris-virginica
140,0.6530612244897962,0.7875000000000002,Iris-virginica,Iris-virginica
